"id","title","description","due_date","status","doctor_id","assistant_id","created_by","clinic_id","created_at"
1,"Asignando nueva tarea","Probando mensajes de telegram","2025-09-20","completed",2,3,2,3,"2025-09-01 08:00:00"
6,"Tarea 1","descripcion tarea 1","2025-09-22","pending",2,3,2,3,"2025-09-01 08:00:00"
59,"prueba 1","tarea de Stefy a José Luis","2025-10-01","completed",6,27,36,"","2025-09-29 17:54:16.970501"
17,"TAREA DE PRUEBA PARA VER SI LLEGAN LOS MENSAJES","BLABLABLA","2025-09-17","pending",6,15,6,3,"2025-09-17 17:13:21.97051"
18,"Enviar correo","Enviame por favor tu correo electrónico. Gracias","2025-09-18","in_progress",2,16,2,3,"2025-09-17 17:38:27.388166"
39,"LLaamar a Cecilia por posible interesado de deptos al pozo","gestion comerciual","2025-09-19","completed",6,9,6,3,"2025-09-19 15:31:53.776755"
54,"3 c","lijar viga de habitación","2025-09-24","pending",6,20,6,3,"2025-09-24 14:02:34.027685"
56,"1 a pintura","emproliojar pintura habitacion y living","2025-09-24","pending",6,20,6,3,"2025-09-24 14:36:31.490999"
57,"3 a  enduido","emportliojar ventana Habitacion enduido","2025-09-24","pending",6,20,6,3,"2025-09-24 14:37:24.992896"
60,"prueba mia ","probando tareas mias","2025-10-10","pending",6,8,2,"","2025-10-01 14:15:46.780382"
2,"probando mensajes de telegram","probando vinculaciones","2025-09-20","in_progress",2,2,2,1,"2025-09-01 08:00:00"
3,"pastinar 1 a","ARREGLAR BORDES DE PLACAR DE LA HABITACION. !","2025-09-17","pending",6,5,6,3,"2025-09-01 08:00:00"
8,"2 b pintar zocalos que faltan en todo el departamento","Verifica y pinta todos los zócalos que faltan pintar en el departamento 2 b","2025-09-17","pending",6,10,6,3,"2025-09-17 13:41:33.459326"
10,"4 c Benitez","Benitez mira porque se descascara la pintura del 4 c, decime como solucionamos ese tema porfa","2025-09-17","pending",6,14,6,3,"2025-09-17 14:20:11.584355"
11,"4 a pintura","MEÑANA VIENEN LOS DUEÑOS DEL 4 A

HOY HAY QUE TERMINAR DE HACER ESTOS ARREGLOS
PINTUTRA , HAY RETOQUES SERCA DE LA LLAVE DEL PASILLO.
ENDUIDO EN LOS PERFILES DE LOS PLACARES
PINTAR ZOCALOS EN TODO EL DEPARTAMENTO DONDE CORRESPONDA","2025-09-17","pending",6,10,6,3,"2025-09-17 15:17:55.657757"
12,"6 B pintura","PINTAR PARED CON HUMEDAD DEL DORMITORIO","2025-09-18","pending",6,10,6,3,"2025-09-17 15:27:49.449934"
14,"6 B enduido","HAY UN AGUJERO POR TAPAR ENTRE LA PERED Y EL PISO ANTRES DEL PASILLO QUE DA A DOREMITORIO","2025-09-18","pending",6,10,6,3,"2025-09-17 15:33:15.067121"
15,"6 B viga","EMPROLIOJAR VIGA DE COCINA","2025-09-18","pending",6,10,6,3,"2025-09-17 15:34:29.660787"
16,"4 A colocar puerta","VOLVER A COLOCAR5 PUIERTYA DONDE ESTA CALDERA","2025-09-18","pending",6,5,6,3,"2025-09-17 15:35:20.791313"
19,"6 B EMPROLIJAR VCIGA HABITACION","PASAR MNOLADORA Y EMPROLIJAR REBARBAS","2025-09-19","pending",6,10,6,3,"2025-09-18 14:36:09.684803"
20,"2 B PASTINAR PISO","PASTINAR PISO CONTRA ZOCALOS","2025-09-18","pending",6,5,6,3,"2025-09-18 14:59:38.971769"
21,"2 b pintar zocalos habitaciones y living","revisar yb pintar zocalos de toido el depto","2025-09-18","pending",6,17,6,3,"2025-09-18 15:15:04.76939"
22,"2 bb arreglar con enduido ventanales","arreglar bordes de ventana con enduido","2025-09-18","completed",6,10,6,3,"2025-09-18 15:19:52.81755"
23,"2 c lavarropa","terminacion pared de lavarroipa","2025-09-12","completed",6,5,6,3,"2025-09-18 18:50:15.943278"
24,"2 c pastinar living","","2025-09-11","pending",6,13,6,3,"2025-09-18 18:51:06.351874"
25,"1 a terrminacion pared lavarropa","","2025-09-08","pending",6,5,6,3,"2025-09-18 18:52:02.633755"
26,"1 a enduido","terminacion pared lateral","2025-09-09","pending",6,5,6,3,"2025-09-18 18:53:51.026537"
27,"3 a lavadero","emprolijar","2025-09-10","pending",6,5,6,3,"2025-09-18 18:55:05.87661"
28,"3 a piso","pastinar pìso","2025-09-10","pending",6,5,6,3,"2025-09-18 18:56:02.660837"
29,"2 a lavarropa","emprolija","2025-09-11","pending",6,5,6,3,"2025-09-18 18:56:58.948271"
30,"3 b pastina","pastina en cocina","2025-09-04","completed",6,5,6,3,"2025-09-18 18:58:10.003987"
31,"2 b lavarropa","lavarropa pintar","2025-09-18","pending",6,5,6,3,"2025-09-18 18:58:57.332989"
32,"3 c lavarropa","pintar","2025-09-18","pending",6,5,6,3,"2025-09-18 18:59:36.487388"
33,"2 b baños","limpiar baños","2025-09-12","pending",6,5,6,3,"2025-09-18 19:00:29.439061"
34,"4 a limpieza","limpiar porcelanatos baños","2025-09-09","pending",6,5,6,3,"2025-09-18 19:01:10.567745"
35,"3 a bañadera","emprolijar","2025-09-04","pending",6,5,6,3,"2025-09-18 19:01:57.642668"
38,"1 a PASTINA","pastinar PISO","2025-09-19","completed",6,5,6,3,"2025-09-19 15:29:38.197211"
40,"1 C ENDUIDO","ERNDUIDO A VENTANA DEL CUARTO","2025-09-19","completed",6,5,6,3,"2025-09-19 17:41:37.063707"
41,"1 B ENDUIDO","ENDUIDO A VENTANA","2025-09-19","completed",6,5,6,3,"2025-09-19 17:43:19.384974"
42,"LIMPIEZA 5TO PISO","LIMPIAR OFICINA","2025-09-19","pending",6,5,6,3,"2025-09-19 17:51:44.733504"
43," 4 a techo","limpiar manchas en techo de habitación principal del lado de la cabecera ","2025-09-22","pending",6,5,6,3,"2025-09-22 14:11:58.704048"
44,"4 a","arreglar el zocalo inferiopr del ventanal de living","2025-09-22","pending",6,18,6,3,"2025-09-22 14:13:04.889157"
45,"4 c pastinar","pastrinar piso living y habitacion","2025-09-24","pending",6,5,6,3,"2025-09-24 13:47:06.204792"
46,"4 c Pintar ","encima de extractador","2025-09-24","pending",6,5,6,3,"2025-09-24 13:48:06.855202"
47,"4 c lijar","emprolijar viga de habitacion","2025-09-24","pending",6,24,6,3,"2025-09-24 13:51:49.183991"
48,"4 c clavoi","sacar clavo del techo y emprolijar","2025-09-24","pending",6,24,6,3,"2025-09-24 13:52:26.012381"
49,"4 c","emprolijar viga con pared living","2025-09-24","completed",6,5,6,3,"2025-09-24 13:54:43.912711"
50,"4 c emproliojar","emprolijar pared dfe habitacion","2025-09-24","pending",6,5,6,3,"2025-09-24 13:55:39.418806"
51,"4 c  zocalo","arreglar zocalo debajo de venmtanal del living","2025-09-24","completed",6,25,6,3,"2025-09-24 13:58:36.500042"
52,"4 c premarcops","revisar terminación de premarcos","2025-09-24","pending",6,5,6,3,"2025-09-24 13:59:42.241057"
